name,lat,lon,humidity,temp,temp_max,temp_min,wind mph,clouds
Kaitangata,-46.2817,169.8464,57.0,12.78,12.78,12.78,4.02,100.0
Kalianget,-7.05,113.9333,83.0,26.13,26.13,26.13,2.0,100.0
Kamenka,51.3223,42.7678,91.0,-6.11,-6.11,-6.11,4.24,100.0
Kapaa,22.0752,-159.319,52.0,21.0,21.0,21.0,7.72,20.0
Karachi,24.9056,67.0822,60.0,23.0,23.0,23.0,2.06,67.0
Karasburg,-28.0167,18.75,34.0,28.35,28.35,28.35,9.13,96.0
Karasjok,69.4719,25.5112,68.0,-6.0,-6.0,-6.0,7.2,20.0
Karratha,-20.7377,116.8463,37.0,31.89,31.89,31.89,6.22,1.0
Kasongo-Lunda,-6.4667,16.8167,60.0,29.56,29.56,29.56,1.08,91.0
Kassala,15.451,36.4,23.0,29.31,29.31,29.31,3.57,53.0
Katsuura,35.1333,140.3,75.0,5.75,6.0,5.56,2.57,20.0
Kavaratti,10.5669,72.642,63.0,27.84,27.84,27.84,3.37,43.0
Kavieng,-2.5744,150.7967,74.0,28.18,28.18,28.18,3.65,75.0
Kayes,14.0,-11.0,8.0,39.35,39.35,39.35,1.84,70.0
Keflavik,64.0049,-22.5624,75.0,2.62,3.0,2.0,4.12,75.0
Kesinga,20.2,83.2333,27.0,18.99,18.99,18.99,1.35,0.0
Ketchikan,55.3422,-131.6461,57.0,-9.81,-8.0,-11.0,2.57,1.0
Khatanga,71.9667,102.5,85.0,-25.29,-25.29,-25.29,3.36,43.0
Khovd,48.0056,91.6419,60.0,-9.27,-9.27,-9.27,3.81,0.0
Kieta,-6.2167,155.6333,80.0,26.52,26.52,26.52,2.74,100.0
Kikwit,-5.041,18.8162,57.0,30.97,30.97,30.97,1.59,99.0
Killybegs,54.6333,-8.45,51.0,1.92,2.0,1.67,4.63,20.0
Kingaroy,-26.5333,151.8333,88.0,18.0,18.0,18.0,2.57,90.0
Kinsale,51.7075,-8.5306,60.0,2.11,2.22,2.0,6.69,75.0
Kirkland Lake,48.1446,-80.0377,72.0,-16.0,-16.0,-16.0,2.22,89.0
Kiryat Gat,31.61,34.7642,100.0,16.34,18.33,14.44,3.33,0.0
Kisangani,0.5167,25.2,38.0,31.06,31.06,31.06,0.19,99.0
Klaksvík,62.2266,-6.589,74.0,-4.0,-4.0,-4.0,0.51,22.0
Kodinsk,58.6881,99.1844,89.0,-19.84,-19.84,-19.84,1.8,95.0
Korla,41.7597,86.1469,69.0,2.5,2.5,2.5,5.61,100.0
Koryukivka,51.7688,32.2481,96.0,-12.25,-12.25,-12.25,2.45,90.0
Krasnoarmeysk,51.0239,45.6969,54.0,-12.42,-12.22,-12.78,0.45,100.0
Krasnosel'kup,65.7,82.4667,87.0,-29.19,-29.19,-29.19,3.12,100.0
Krasnyy Chikoy,50.3643,108.7512,94.0,-8.46,-8.46,-8.46,1.61,100.0
Krasnyy Kholm,58.0607,37.1203,93.0,-18.01,-18.01,-18.01,3.74,62.0
Kruisfontein,-34.0033,24.7314,75.0,25.0,25.0,25.0,5.81,0.0
Kumla,59.1277,15.1434,86.0,-6.06,-5.0,-7.22,6.69,90.0
Kurchum,48.5722,83.6542,83.0,-19.4,-19.4,-19.4,1.36,7.0
Kwang Binh,17.4833,106.6,81.0,17.0,17.0,17.0,1.56,4.0
Kyshtovka,56.555,76.6271,86.0,-30.52,-30.52,-30.52,3.48,0.0
La Libertad,-2.2333,-80.9,74.0,28.0,28.0,28.0,2.57,75.0
La Ronge,55.1001,-105.2842,68.0,-32.0,-32.0,-32.0,1.54,100.0
Labuan,5.2767,115.2417,83.0,26.83,27.0,26.67,0.51,20.0
Labuhan,-6.8844,112.2051,87.0,25.43,25.43,25.43,2.1,100.0
Lae,-6.7221,146.9847,81.0,25.25,25.25,25.25,3.93,100.0
Lagoa,39.05,-27.9833,69.0,14.88,14.88,14.88,13.99,53.0
Laguna,38.421,-121.4238,93.0,9.55,10.56,7.0,0.13,1.0
Lata,40.1629,-8.3327,88.0,14.18,15.0,12.78,2.57,75.0
Latung,5.5,120.8833,72.0,28.86,28.86,28.86,1.57,72.0
Lavrentiya,65.5833,-171.0,80.0,-30.97,-30.97,-30.97,3.81,0.0
Lawrenceburg,38.0373,-84.8966,86.0,-2.07,-0.56,-3.0,4.12,90.0
Lebu,-37.6167,-73.65,59.0,21.58,21.58,21.58,2.63,0.0
